l2_regularization,learning_rate,max_leaf_nodes,min_samples_leaf,max_bins,mean_test_score,std_test_score,rank_test_score
3.8633747863354446,0.015978921886017315,29,3,45,0.8510991623709335,0.0030514939735856116,114
0.0004017191158712784,0.26207788855518205,159,1,84,0.8508943230820348,0.0044985828840816994,115
0.17440743673637343,0.4295201326010112,131,2,73,0.8506385065046398,0.004531872300129222,116
0.002105709557293995,0.01876256879648286,23,1,17,0.8505617343479009,0.0031946619950819644,117
0.0008916962759805296,0.012290624948183143,149,1,49,0.850049894860366,0.002594893364124537,118
0.01827040310810836,0.5195175226865887,199,10,60,0.8498196275169934,0.004471233226486395,119
0.00048305186184280195,0.8038987336133565,41,7,79,0.849793871950226,0.006115923774631488,120
0.16892464999072046,0.23197794502167834,16,5,15,0.8494355669508,0.004944666159476862,121
0.00025133279427474846,0.1410780444890591,6,5,15,0.8490517094422285,0.0047267366750419,122
0.00033691282944213697,0.010269391037772082,26,3,193,0.8488214846754542,0.003426647137993852,123
125.46892758796372,0.06211539913350965,4,10,46,0.8482838994465206,0.004557916369655203,124
0.21450154875423105,1.1023383670407045,24,2,84,0.8482069733590037,0.006020353977389586,125
9.735879577542002,0.6404485038064941,252,2,22,0.8479767616927211,0.0033533754791457327,126
0.0011486973656514709,0.2737916961172129,7,1,15,0.847874381349747,0.004464340019910796,127
0.06891914740308942,0.07643512771617288,8,82,14,0.8478488386659704,0.0046899311828039695,128
1.934190830106214e-06,0.49698751311623873,5,1,14,0.8478231977285058,0.005074120460376448,129
241.80905577817387,0.13064133082189502,9,17,13,0.8476440550541616,0.005989929218788848,130
753.522386036171,0.26031517717147806,60,1,11,0.8475160894508127,0.005567030003796023,131
7.791219837605555,0.012000494576042398,35,1,88,0.8473626368407772,0.0038493846339011737,132
2.251035708152024e-05,1.0019632711780728,27,71,17,0.8472602761485406,0.00489061883829621,133
93.73165040617491,1.2497561655729725,2,13,14,0.8469786286765506,0.004352690106429708,134
11.6720899805767,0.014634395121691086,39,1,18,0.8469275072826452,0.002386201590392932,135
3.510422124112393e-06,0.09332183198006587,113,71,12,0.8469274319548177,0.00594356009457625,136
3.490364661371492e-06,0.08633774506968334,12,16,8,0.8467738155886353,0.006136993220559501,137
0.00031473144384978554,0.11547415257597866,24,24,12,0.8467482663546129,0.006156366166146587,138
134.3663064342456,0.7387657545507601,4,7,12,0.8467227203957135,0.005781357301691685,139
0.010869985022761122,0.27550505916427714,6,8,11,0.8462619924767152,0.006033915611041959,140
0.00033489165381519174,0.0187455921049451,14,5,17,0.8461085595174171,0.002527031359915561,141
0.004492681896976931,0.04673065561199669,127,7,11,0.8457757153236944,0.004949719586693959,142
0.007356349588093643,1.4704647557160302,13,2,35,0.8456732793036302,0.006392257696092435,143
0.00036316637442505547,0.05031040329098954,224,91,8,0.845647713693993,0.005207453941957298,144
1.0429941209771136e-06,0.6051459074572176,11,49,10,0.8453405497392102,0.006879150183910479,145
5.505034241979513,1.2045506351704114,8,8,14,0.8450335560908198,0.0046638889424664536,146
